Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01000296,8.8,8.25,9.2,4,4.25,6,-1,-1,-1
01000297,7.6,5,6.6,6,2.75,6,-1,-1,-1
01000298,8.8,4.25,6.6,5.5,5,6.5,-1,-1,-1
01000299,6.4,6.75,7.5,-1,-1,-1,7.75,7.6,7.25
01000300,5,6,6,-1,-1,-1,5.25,4.8,7.25
01000301,7.8,3.75,7.8,7.75,4.25,5.25,-1,-1,-1
01000302,6.6,5.75,7.5,-1,-1,-1,6,8.6,9
01000303,6.4,7.75,8.75,-1,-1,-1,8.5,7.8,8
01000304,7.4,7.25,8.5,-1,-1,-1,8.75,7,8
01000305,8.6,3.25,6,7,3.25,5.75,-1,-1,-1
01000306,7.4,8,5.4,4,3,3,-1,-1,-1
01000307,-1,-1,-1,-1,-1,-1,-1,-1,-1
01000308,3.8,5.5,5,-1,-1,-1,5.75,3.6,7.75
01000309,6,5.25,7.5,-1,-1,-1,5.25,5.2,8
01000310,6,6.5,-1,-1,-1,-1,6.5,6,5.25
01000311,7.4,7.75,5.5,-1,-1,-1,7,6.4,8.25
01000312,7.6,6,7.2,6.5,4.75,7.25,-1,-1,-1
01000313,8.8,6,6.4,7.75,4,7,-1,-1,-1
01000314,8.8,4.5,8.8,7.75,3.25,3.75,-1,-1,-1
01000315,8.8,6,8.6,8.5,5.25,7,-1,-1,-1
01000316,8,8.5,7.5,-1,-1,-1,7.25,8.6,8.25
01000317,6,6.5,6.5,-1,-1,-1,6.5,7.4,7.75
01000318,6.8,6.25,-1,-1,-1,-1,8.5,7.5,-1
01000319,6,8.5,7,-1,-1,-1,4.75,6.4,8.25
01000320,9.2,8,7,-1,-1,-1,7.75,7.2,7.25
01000321,8,8.25,9.2,-1,-1,-1,-1,-1,-1
01000322,5.8,8,7,-1,-1,-1,7.5,7.2,7.5
01000323,2.8,8.25,8,-1,-1,-1,6.5,7.8,7.25
01000324,8.6,9.25,8.75,-1,-1,-1,8,8.6,9
01000325,-1,5,-1,-1,-1,-1,5.25,6.25,-1
01000326,8.6,7.75,7.75,-1,-1,-1,7.75,8.6,8.75
01000327,8.6,6.25,-1,-1,-1,-1,7.25,9.25,6.25
01000328,6.8,7.5,8.75,-1,-1,-1,6.5,8.6,7.75
01000329,8.4,4,8.8,5.75,4.5,5.75,-1,-1,-1
01000330,3.6,5.25,4,-1,-1,-1,4.5,2.8,7.25
01000331,8.8,8.5,8,-1,-1,-1,8,7.6,9
01000332,7.4,7.5,4.5,-1,-1,-1,6.75,8.2,7.75
01000333,7.2,7.5,6,-1,-1,-1,7.5,6,7.25
01000334,8.2,8.25,8.25,-1,-1,-1,8.25,8.8,9.25
01000335,5.4,5.75,8.25,-1,-1,-1,5.25,7.8,9
01000336,7.4,8.25,8.75,-1,-1,-1,7.5,8.6,8
01000337,6.6,4.25,-1,-1,-1,-1,4.75,5.25,-1
01000338,6.4,8,5.75,-1,-1,-1,5.25,8.2,7.5
01000339,-1,2.5,-1,-1,-1,-1,4.25,6,-1
01000340,7.4,6,9.2,6,5,6.75,-1,-1,-1
01000341,7.2,7,7.25,-1,-1,-1,6.5,7.4,8.5
01000342,3,4.5,4,-1,-1,-1,5.25,3,8
01000343,-1,6,-1,-1,-1,-1,7.5,7,-1
01000344,9.2,9,9.5,-1,-1,-1,9.25,9.4,9
01000345,7.8,8.5,7,-1,-1,-1,6,7.8,7
01000346,7.4,7.5,7.5,-1,-1,-1,6.5,8.6,7.5
01000347,5.6,7,8,-1,-1,-1,7.25,5.4,8.75
01000348,8.2,7.5,8.25,-1,-1,-1,8,8,8
01000349,7,5,7,-1,-1,-1,6.25,6.6,8.25
01000350,7.2,8.75,8.75,-1,-1,-1,8.75,6.8,9
01000351,8,8.5,5.25,-1,-1,-1,6,6.6,8.5
01000352,7.4,7,6.5,-1,-1,-1,7,7.4,8.5
01000353,8.6,7.5,6,-1,-1,-1,5.25,7,7.5
01000354,7.6,7.5,7.25,-1,-1,-1,6.75,6.8,8.25
01000355,-1,3.5,-1,-1,-1,-1,3,5,-1
01000356,6.6,6.25,5.5,-1,-1,-1,6.5,6.6,8.5
01000357,6.4,7,8.25,-1,-1,-1,7.25,6,7.75
01000358,7.4,7.5,6.5,-1,-1,-1,7,7.2,8
01000359,8.2,8,7,-1,-1,-1,7.25,8.6,8
01000360,7.6,-1,6.6,7.5,-1,-1,-1,-1,-1
01000361,4,6.75,7.25,-1,-1,-1,5.5,3.4,4.25
01000362,8,8,4.25,-1,-1,-1,6.5,8,8.25
01000363,8.6,9,7.75,-1,-1,-1,8.5,8.6,9
01000364,7.4,6.5,7,-1,-1,-1,7.5,6.2,8
01000365,7.8,8.5,6.5,-1,-1,-1,7.75,6.4,8.25
01000366,7.2,7.5,7.75,-1,-1,-1,7.25,5.4,8.25
01000367,4,7.5,5.5,-1,-1,-1,6.25,5.6,7
01000368,5.6,8,9.25,-1,-1,-1,8.75,6.4,7.75
01000369,6.2,8.5,4,-1,-1,-1,8.25,9.2,8.5
01000370,8.2,8.25,7.75,-1,-1,-1,8,8,9
01000371,4.4,5.5,3.5,-1,-1,-1,5,6.8,8
01000372,7.8,8.5,9.2,-1,-1,-1,-1,-1,-1
01000373,8.2,7.75,5,-1,-1,-1,5.5,7.8,7.25
01000374,3.2,7.5,6,-1,-1,-1,4.25,3.8,7.25
01000375,-1,6,-1,-1,-1,-1,7.75,7.5,-1
01000376,4.4,7.25,-1,-1,-1,-1,5.25,5.75,-1
01000377,-1,6.75,-1,-1,-1,-1,8.5,8.25,-1
01000378,6.8,6.25,-1,-1,-1,-1,6.75,5.75,-1
01000379,2.2,5.25,-1,-1,-1,-1,6,5.5,-1
01000380,-1,4,-1,-1,-1,-1,6.5,6.75,-1
01000381,8,7,-1,-1,-1,-1,7.5,7,-1
01000382,5.6,6,8.2,-1,-1,-1,-1,-1,-1
01000383,-1,-1,-1,-1,-1,-1,-1,-1,-1
01000384,-1,6.75,-1,-1,-1,-1,8.5,7.25,-1
01000385,-1,6,-1,-1,-1,-1,4.5,5.25,-1
01000386,7.8,8.75,9.4,-1,-1,-1,-1,-1,-1
01000387,7.6,8.25,5,-1,-1,-1,7,8.8,9
01000388,3.8,6,-1,-1,-1,-1,3.25,6.25,-1
01000389,-1,7.25,-1,-1,-1,-1,10,8.75,-1
01000390,-1,-1,-1,-1,-1,-1,-1,-1,-1
01000391,1.8,4.75,-1,-1,-1,-1,4.5,5.5,-1
01000392,-1,5.75,-1,-1,-1,-1,8.25,8.5,-1
01000393,5,5,6.25,-1,-1,-1,6.25,8.6,-1
01000394,-1,7.5,-1,-1,-1,-1,9.5,8.75,-1
